cell_value,time_slot_id,data_type_code,category_code,error_data,seasonally_adj,data_type_code,time,us
91596,0,SM,441X,no,yes,SM,2017-01,1
91088,0,SM,441X,no,yes,SM,2017-02,1
89067,0,SM,441X,no,yes,SM,2017-03,1
89571,0,SM,441X,no,yes,SM,2017-04,1
90043,0,SM,441X,no,yes,SM,2017-05,1
90996,0,SM,441X,no,yes,SM,2017-06,1
91046,0,SM,441X,no,yes,SM,2017-07,1
89033,0,SM,441X,no,yes,SM,2017-08,1
92953,0,SM,441X,no,yes,SM,2017-09,1
93807,0,SM,441X,no,yes,SM,2017-10,1
92764,0,SM,441X,no,yes,SM,2017-11,1
92351,0,SM,441X,no,yes,SM,2017-12,1
316290,0,SM,4400A,no,yes,SM,2017-01,1
316796,0,SM,4400A,no,yes,SM,2017-02,1
318044,0,SM,4400A,no,yes,SM,2017-03,1
319219,0,SM,4400A,no,yes,SM,2017-04,1
316459,0,SM,4400A,no,yes,SM,2017-05,1
317545,0,SM,4400A,no,yes,SM,2017-06,1
317545,0,SM,4400A,no,yes,SM,2017-07,1
320139,0,SM,4400A,no,yes,SM,2017-08,1
325421,0,SM,4400A,no,yes,SM,2017-09,1
325015,0,SM,4400A,no,yes,SM,2017-10,1
330428,0,SM,4400A,no,yes,SM,2017-11,1
332819,0,SM,4400A,no,yes,SM,2017-12,1
7774,0,SM,4413,no,yes,SM,2017-01,1
7679,0,SM,4413,no,yes,SM,2017-02,1
7758,0,SM,4413,no,yes,SM,2017-03,1
7823,0,SM,4413,no,yes,SM,2017-04,1
7751,0,SM,4413,no,yes,SM,2017-05,1
7714,0,SM,4413,no,yes,SM,2017-06,1
7812,0,SM,4413,no,yes,SM,2017-07,1
7689,0,SM,4413,no,yes,SM,2017-08,1
7882,0,SM,4413,no,yes,SM,2017-09,1
7739,0,SM,4413,no,yes,SM,2017-10,1
7893,0,SM,4413,no,yes,SM,2017-11,1
8129,0,SM,4413,no,yes,SM,2017-12,1
106672,0,SM,4400C,no,yes,SM,2017-01,1
105441,0,SM,4400C,no,yes,SM,2017-02,1
106088,0,SM,4400C,no,yes,SM,2017-03,1
106155,0,SM,4400C,no,yes,SM,2017-04,1
104844,0,SM,4400C,no,yes,SM,2017-05,1
106134,0,SM,4400C,no,yes,SM,2017-06,1
105412,0,SM,4400C,no,yes,SM,2017-07,1
105885,0,SM,4400C,no,yes,SM,2017-08,1
106673,0,SM,4400C,no,yes,SM,2017-09,1
106683,0,SM,4400C,no,yes,SM,2017-10,1
107806,0,SM,4400C,no,yes,SM,2017-11,1
107896,0,SM,4400C,no,yes,SM,2017-12,1
415660,0,SM,44000,no,yes,SM,2017-01,1
415563,0,SM,44000,no,yes,SM,2017-02,1
