cell_value,time_slot_id,data_type_code,category_code,error_data,seasonally_adj,data_type_code,time,us
74647,0,SM,4411,no,no,SM,2017-01,1
77728,0,SM,4411,no,no,SM,2017-02,1
91143,0,SM,4411,no,no,SM,2017-03,1
82286,0,SM,4411,no,no,SM,2017-04,1
89634,0,SM,4411,no,no,SM,2017-05,1
86398,0,SM,4411,no,no,SM,2017-06,1
87358,0,SM,4411,no,no,SM,2017-07,1
89952,0,SM,4411,no,no,SM,2017-08,1
86414,0,SM,4411,no,no,SM,2017-09,1
84335,0,SM,4411,no,no,SM,2017-10,1
82567,0,SM,4411,no,no,SM,2017-11,1
88125,0,SM,4411,no,no,SM,2017-12,1
65989,0,SM,44111,no,no,SM,2017-01,1
67955,0,SM,44111,no,no,SM,2017-02,1
79994,0,SM,44111,no,no,SM,2017-03,1
72893,0,SM,44111,no,no,SM,2017-04,1
79746,0,SM,44111,no,no,SM,2017-05,1
76460,0,SM,44111,no,no,SM,2017-06,1
77676,0,SM,44111,no,no,SM,2017-07,1
80162,0,SM,44111,no,no,SM,2017-08,1
76996,0,SM,44111,no,no,SM,2017-09,1
75042,0,SM,44111,no,no,SM,2017-10,1
73824,0,SM,44111,no,no,SM,2017-11,1
79750,0,SM,44111,no,no,SM,2017-12,1
8658,0,SM,44112,no,no,SM,2017-01,1
9773,0,SM,44112,no,no,SM,2017-02,1
11149,0,SM,44112,no,no,SM,2017-03,1
9393,0,SM,44112,no,no,SM,2017-04,1
9938,0,SM,44112,no,no,SM,2017-06,1
9682,0,SM,44112,no,no,SM,2017-07,1
9790,0,SM,44112,no,no,SM,2017-08,1
9418,0,SM,44112,no,no,SM,2017-09,1
9293,0,SM,44112,no,no,SM,2017-10,1
8743,0,SM,44112,no,no,SM,2017-11,1
8375,0,SM,44112,no,no,SM,2017-12,1
8408,0,SM,442,no,no,SM,2017-01,1
8376,0,SM,442,no,no,SM,2017-02,1
9815,0,SM,442,no,no,SM,2017-03,1
9575,0,SM,442,no,no,SM,2017-05,1
9523,0,SM,442,no,no,SM,2017-06,1
9396,0,SM,442,no,no,SM,2017-07,1
10031,0,SM,442,no,no,SM,2017-08,1
9647,0,SM,442,no,no,SM,2017-10,1
10702,0,SM,442,no,no,SM,2017-11,1
347201,0,SM,4400A,no,no,SM,2017-11,1
396646,0,SM,4400A,no,no,SM,2017-12,1
89771,0,SM,4400C,no,no,SM,2017-01,1
103415,0,SM,4400C,no,no,SM,2017-03,1
100811,0,SM,4400C,no,no,SM,2017-04,1
104330,0,SM,4400C,no,no,SM,2017-05,1
103231,0,SM,4400C,no,no,SM,2017-06,1
102614,0,SM,4400C,no,no,SM,2017-07,1
100533,0,SM,4400C,no,no,SM,2017-09,1
102875,0,SM,4400C,no,no,SM,2017-10,1
118844,0,SM,4400C,no,no,SM,2017-11,1
149503,0,SM,4400C,no,no,SM,2017-12,1
7020,0,SM,4413,no,no,SM,2017-01,1
6934,0,SM,4413,no,no,SM,2017-02,1
8363,0,SM,4413,no,no,SM,2017-03,1
7682,0,SM,4413,no,no,SM,2017-04,1
8139,0,SM,4413,no,no,SM,2017-05,1
8154,0,SM,4413,no,no,SM,2017-06,1
7906,0,SM,4413,no,no,SM,2017-07,1
8273,0,SM,4413,no,no,SM,2017-08,1
7827,0,SM,4413,no,no,SM,2017-09,1
7956,0,SM,4413,no,no,SM,2017-10,1
7775,0,SM,4413,no,no,SM,2017-11,1
7414,0,SM,4413,no,no,SM,2017-12,1
78223,0,SM,441X,no,no,SM,2017-01,1
82526,0,SM,441X,no,no,SM,2017-02,1
97974,0,SM,441X,no,no,SM,2017-03,1
89661,0,SM,441X,no,no,SM,2017-04,1
94454,0,SM,441X,no,no,SM,2017-06,1
94324,0,SM,441X,no,no,SM,2017-07,1
96512,0,SM,441X,no,no,SM,2017-08,1
92116,0,SM,441X,no,no,SM,2017-09,1
86920,0,SM,441X,no,no,SM,2017-11,1
92628,0,SM,441X,no,no,SM,2017-12,1
369068,0,SM,44000,no,no,SM,2017-01,1
365596,0,SM,44000,no,no,SM,2017-02,1
423024,0,SM,44000,no,no,SM,2017-03,1
407275,0,SM,44000,no,no,SM,2017-04,1
434531,0,SM,44000,no,no,SM,2017-05,1
423102,0,SM,44000,no,no,SM,2017-06,1
416927,0,SM,44000,no,no,SM,2017-07,1
431816,0,SM,44000,no,no,SM,2017-08,1
412534,0,SM,44000,no,no,SM,2017-09,1
417757,0,SM,44000,no,no,SM,2017-10,1
441896,0,SM,44000,no,no,SM,2017-11,1
496688,0,SM,44000,no,no,SM,2017-12,1
85243,0,SM,441,no,no,SM,2017-01,1
89460,0,SM,441,no,no,SM,2017-02,1
106337,0,SM,441,no,no,SM,2017-03,1
97343,0,SM,441,no,no,SM,2017-04,1
105656,0,SM,441,no,no,SM,2017-05,1
102608,0,SM,441,no,no,SM,2017-06,1
102230,0,SM,441,no,no,SM,2017-07,1
104785,0,SM,441,no,no,SM,2017-08,1
99943,0,SM,441,no,no,SM,2017-09,1
97354,0,SM,441,no,no,SM,2017-10,1
94695,0,SM,441,no,no,SM,2017-11,1
100042,0,SM,441,no,no,SM,2017-12,1
283825,0,SM,4400A,no,no,SM,2017-01,1
316687,0,SM,4400A,no,no,SM,2017-03,1
309932,0,SM,4400A,no,no,SM,2017-04,1
328875,0,SM,4400A,no,no,SM,2017-05,1
320494,0,SM,4400A,no,no,SM,2017-06,1
314697,0,SM,4400A,no,no,SM,2017-07,1
312591,0,SM,4400A,no,no,SM,2017-09,1
320403,0,SM,4400A,no,no,SM,2017-10,1
1299,0,SM,443141,no,no,SM,2017-01,1
1286,0,SM,443141,no,no,SM,2017-02,1
1490,0,SM,443141,no,no,SM,2017-03,1
1347,0,SM,443141,no,no,SM,2017-04,1
1449,0,SM,443141,no,no,SM,2017-05,1
1445,0,SM,443141,no,no,SM,2017-06,1
1395,0,SM,443141,no,no,SM,2017-07,1
1388,0,SM,443141,no,no,SM,2017-08,1
1387,0,SM,443141,no,no,SM,2017-09,1
1363,0,SM,443141,no,no,SM,2017-10,1
1518,0,SM,443141,no,no,SM,2017-11,1
1439,0,SM,443141,no,no,SM,2017-12,1
5738,0,SM,443142,no,no,SM,2017-01,1
5436,0,SM,443142,no,no,SM,2017-02,1
6010,0,SM,443142,no,no,SM,2017-03,1
5330,0,SM,443142,no,no,SM,2017-04,1
5710,0,SM,443142,no,no,SM,2017-05,1
5785,0,SM,443142,no,no,SM,2017-06,1
5679,0,SM,443142,no,no,SM,2017-07,1
6082,0,SM,443142,no,no,SM,2017-08,1
5906,0,SM,443142,no,no,SM,2017-09,1
5801,0,SM,443142,no,no,SM,2017-10,1
8180,0,SM,443142,no,no,SM,2017-11,1
9961,0,SM,443142,no,no,SM,2017-12,1
15445,0,SM,4423X,no,no,SM,2017-01,1
15098,0,SM,4423X,no,no,SM,2017-02,1
17315,0,SM,4423X,no,no,SM,2017-03,1
15405,0,SM,4423X,no,no,SM,2017-04,1
16734,0,SM,4423X,no,no,SM,2017-05,1
16753,0,SM,4423X,no,no,SM,2017-06,1
16470,0,SM,4423X,no,no,SM,2017-07,1
17501,0,SM,4423X,no,no,SM,2017-08,1
16970,0,SM,4423X,no,no,SM,2017-09,1
16811,0,SM,4423X,no,no,SM,2017-10,1
20400,0,SM,4423X,no,no,SM,2017-11,1
22831,0,SM,4423X,no,no,SM,2017-12,1
20248,0,SM,4441,no,no,SM,2017-01,1
19954,0,SM,4441,no,no,SM,2017-02,1
25203,0,SM,4441,no,no,SM,2017-03,1
25948,0,SM,4441,no,no,SM,2017-04,1
29749,0,SM,4441,no,no,SM,2017-05,1
28828,0,SM,4441,no,no,SM,2017-06,1
26490,0,SM,4441,no,no,SM,2017-07,1
27026,0,SM,4441,no,no,SM,2017-08,1
26022,0,SM,4441,no,no,SM,2017-09,1
26552,0,SM,4441,no,no,SM,2017-10,1
25978,0,SM,4441,no,no,SM,2017-11,1
23473,0,SM,4441,no,no,SM,2017-12,1
52570,0,SM,4451,no,no,SM,2017-01,1
49231,0,SM,4451,no,no,SM,2017-02,1
54388,0,SM,4451,no,no,SM,2017-03,1
53657,0,SM,4451,no,no,SM,2017-04,1
55730,0,SM,4451,no,no,SM,2017-05,1
54206,0,SM,4451,no,no,SM,2017-06,1
55168,0,SM,4451,no,no,SM,2017-07,1
55083,0,SM,4451,no,no,SM,2017-08,1
54132,0,SM,4451,no,no,SM,2017-09,1
54538,0,SM,4451,no,no,SM,2017-10,1
55405,0,SM,4451,no,no,SM,2017-11,1
59070,0,SM,4451,no,no,SM,2017-12,1
1462,0,SM,44221,no,no,SM,2017-01,1
1512,0,SM,44221,no,no,SM,2017-02,1
(S),0,SM,44221,no,no,SM,2017-03,1
(S),0,SM,44221,no,no,SM,2017-04,1
(S),0,SM,44221,no,no,SM,2017-05,1
(S),0,SM,44221,no,no,SM,2017-06,1
(S),0,SM,44221,no,no,SM,2017-07,1
(S),0,SM,44221,no,no,SM,2017-08,1
(S),0,SM,44221,no,no,SM,2017-09,1
(S),0,SM,44221,no,no,SM,2017-10,1
(S),0,SM,44221,no,no,SM,2017-11,1
