category_code,category_name,high_level_category
44X72,Retail Trade and Food Services,Retail and Food Services
4521E,Department Stores,Retail Trade
44000,Retail Trade,Retail Trade
444,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
44Y72,"Retail Trade and Food Services, ex Auto",Retail and Food Services
451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
453,Miscellaneous Store Retailers,Retail Trade
4451,Grocery Stores,Retail Trade
441,Motor Vehicle and Parts Dealers,Retail Trade
454,Nonstore Retailers,Nonstore Trade
441X,Auto and Other Motor Vehicles,Retail Trade
443,Electronics and Appliance Stores,Retail Trade
447,Gasoline Stations,Retail Trade
446,Health and Personal Care Stores,Retail Trade
452,General Merchandise Stores,Retail Trade
448,Clothing and Accessories Stores,Retail Trade
445,Food and Beverage Stores,Retail Trade
44W72,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
442,Furniture and Home Furnishings Stores,Retail Trade
44Z72,"Retail Trade and Food Services, ex Gas",Retail and Food Services
722,Food Services and Drinking Places,Food Services
