monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv
91596.0,441X,2017-01-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
59565.0,445,2017-01-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
473019.0,44X72,2017-01-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
57644.0,452,2017-01-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
7216.0,451,2017-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
26060.0,446,2017-01-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
106672.0,4400C,2017-01-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
48025.0,454,2017-01-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
39949.0,447,2017-01-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
9501.0,442,2017-01-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
53316.0,4451,2017-01-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
45013.0,4529,2017-01-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
25184.0,4441,2017-01-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
415660.0,44000,2017-01-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
10126.0,453,2017-01-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
41326.0,4541,2017-01-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
2424.0,45431,2017-01-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
3095.0,4482,2017-01-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
17183.0,4423X,2017-01-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
57359.0,722,2017-01-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
7774.0,4413,2017-01-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
22058.0,448,2017-01-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
7682.0,443,2017-01-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
12631.0,4521E,2017-01-01,Department Stores,Department Stores,False,0.08625376047961941
801.0,44811,2017-01-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
3329.0,44812,2017-01-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
6161.0,45299,2017-01-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
21592.0,44611,2017-01-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
16175.0,4481,2017-01-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
333700.0,44W72,2017-01-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
373649.0,44Y72,2017-01-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
4324.0,4453,2017-01-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
316290.0,4400A,2017-01-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
28464.0,444,2017-01-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
433070.0,44Z72,2017-01-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
99370.0,441,2017-01-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
2569.0,44831,2017-01-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
38852.0,45291,2017-01-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
26390.0,446,2017-02-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
6109.0,45299,2017-02-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
17110.0,4423X,2017-02-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
3294.0,44812,2017-02-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
4302.0,4453,2017-02-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
2421.0,45431,2017-02-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
41515.0,4541,2017-02-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
21686.0,448,2017-02-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
10295.0,453,2017-02-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
432705.0,44Z72,2017-02-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
21902.0,44611,2017-02-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
44640.0,4529,2017-02-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
472945.0,44X72,2017-02-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
7613.0,443,2017-02-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
787.0,44811,2017-02-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
57382.0,722,2017-02-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
57059.0,452,2017-02-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
40240.0,447,2017-02-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
374178.0,44Y72,2017-02-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
48178.0,454,2017-02-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
28853.0,444,2017-02-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
15902.0,4481,2017-02-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
9497.0,442,2017-02-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
53687.0,4451,2017-02-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
38531.0,45291,2017-02-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
3023.0,4482,2017-02-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
59912.0,445,2017-02-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
2526.0,44831,2017-02-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
98767.0,441,2017-02-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
316796.0,4400A,2017-02-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
7679.0,4413,2017-02-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
7073.0,451,2017-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
12419.0,4521E,2017-02-01,Department Stores,Department Stores,False,0.08625376047961941
25322.0,4441,2017-02-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
105441.0,4400C,2017-02-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
91088.0,441X,2017-02-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
333938.0,44W72,2017-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
415563.0,44000,2017-02-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
26545.0,446,2017-03-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
2521.0,45431,2017-03-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
6980.0,451,2017-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
57390.0,452,2017-03-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
106088.0,4400C,2017-03-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
48809.0,454,2017-03-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
9557.0,442,2017-03-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
7796.0,443,2017-03-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
21836.0,448,2017-03-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
96825.0,441,2017-03-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
60346.0,445,2017-03-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
38767.0,45291,2017-03-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
432252.0,44Z72,2017-03-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
4318.0,4453,2017-03-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
375324.0,44Y72,2017-03-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
318044.0,4400A,2017-03-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
28676.0,444,2017-03-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
2529.0,44831,2017-03-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
15990.0,4481,2017-03-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
22030.0,44611,2017-03-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
335427.0,44W72,2017-03-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
3250.0,44812,2017-03-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
6204.0,45299,2017-03-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
89067.0,441X,2017-03-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
7758.0,4413,2017-03-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
39897.0,447,2017-03-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
472149.0,44X72,2017-03-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
832.0,44811,2017-03-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
25053.0,4441,2017-03-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
17353.0,4423X,2017-03-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
44971.0,4529,2017-03-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
12419.0,4521E,2017-03-01,Department Stores,Department Stores,False,0.08625376047961941
3084.0,4482,2017-03-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
414869.0,44000,2017-03-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
57280.0,722,2017-03-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
54117.0,4451,2017-03-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
42065.0,4541,2017-03-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
10212.0,453,2017-03-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
22240.0,44611,2017-04-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
89571.0,441X,2017-04-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
42633.0,4541,2017-04-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
4367.0,4453,2017-04-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
319219.0,4400A,2017-04-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
7865.0,443,2017-04-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
336816.0,44W72,2017-04-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
15989.0,4481,2017-04-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
21834.0,448,2017-04-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
60480.0,445,2017-04-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
473986.0,44X72,2017-04-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
