monthly_sales,category_code,time,category_name,high_level_category,is_subset
74647.0,4411,2017-01-01,Automobile Dealers,Motor Vehicle and Parts Dealers,True
45834.0,454,2017-01-01,Nonstore Retailers,Nonstore Retailers,False
336767.0,44Y72,2017-01-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True
2148.0,4482,2017-01-01,Shoe Stores,Clothing and Clothing Accessories Stores,True
52570.0,4451,2017-01-01,Grocery Stores,Food and Beverage Stores,True
422010.0,44X72,2017-01-01,Retail Trade and Food Services,Retail Trade and Food Services,False
20248.0,4441,2017-01-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True
46469.0,7225,2017-01-01,Restaurants and Other Eating Places,Food Services and Drinking Places,True
15445.0,4423X,2017-01-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
1182.0,45112,2017-01-01,"Hobby, Toy, and Game Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
5738.0,443142,2017-01-01,Electronics Stores,Electronics and Appliance Stores,True
1377.0,451211,2017-01-01,Book Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
1299.0,443141,2017-01-01,Household Appliance Stores,Electronics and Appliance Stores,True
22804.0,72251X,2017-01-01,Limited Service Eating Places,Food Services and Drinking Places,True
283825.0,4400A,2017-01-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True
2919.0,452111E,2017-01-01,Department Stores (Excl. Discount Department Stores),Department Stores,True
8662.0,453,2017-01-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
85243.0,441,2017-01-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
38061.0,4541,2017-01-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True
369068.0,44000,2017-01-01,Retail Trade,Retail Trade and Food Services,True
9459.0,4521E,2017-01-01,Department Stores,Department Stores,False
78223.0,441X,2017-01-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True
2182.0,442299,2017-01-01,All Other Home Furnishings Stores,Furniture and Home Furnishings Stores,True
1227.0,45330,2017-01-01,Used Merchandise Stores,Miscellaneous Store Retailers,True
1779.0,44413,2017-01-01,Hardware Stores,Building Material and Garden Equipment and Supplies Dealers,True
5292.0,45299,2017-01-01,All Other General Merchandise Stores,Other General Merchandise Stores,True
11846.0,4481,2017-01-01,Clothing Stores,Clothing and Clothing Accessories Stores,True
3580.0,4453,2017-01-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True
35914.0,447,2017-01-01,Gasoline Stations,Gasoline Stations,False
6033.0,44814,2017-01-01,Family Clothing Stores,Clothing and Clothing Accessories Stores,True
50516.0,44511,2017-01-01,Supermarkets and Other Grocery (Except Convenience) Stores,Food and Beverage Stores,True
625.0,44811,2017-01-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True
57819.0,445,2017-01-01,Food and Beverage Stores,Food and Beverage Stores,False
2380.0,44812,2017-01-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True
21657.0,44611,2017-01-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True
746.0,44412,2017-01-01,Paint and Wallpaper Stores,Building Material and Garden Equipment and Supplies Dealers,True
15918.0,448,2017-01-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
2198.0,4532,2017-01-01,"Office Supplies, Stationery, and Gift Stores",Miscellaneous Store Retailers,True
52942.0,722,2017-01-01,Food Services and Drinking Places,Food Services and Drinking Places,False
1505.0,44819,2017-01-01,Other Clothing Stores,Clothing and Clothing Accessories Stores,True
6220.0,451,2017-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
