cell_value,time_slot_id,error_data,category_code,seasonally_adj,data_type_code,time,us
1.5,0,yes,4411,yes,E_SM,2017-01,1
1.6,0,yes,4411,yes,E_SM,2017-02,1
1.4,0,yes,4411,yes,E_SM,2017-03,1
1.5,0,yes,4411,yes,E_SM,2017-04,1
1.4,0,yes,4411,yes,E_SM,2017-05,1
1.5,0,yes,4411,yes,E_SM,2017-06,1
1.4,0,yes,4411,yes,E_SM,2017-07,1
1.3,0,yes,4411,yes,E_SM,2017-08,1
1.1,0,yes,4411,yes,E_SM,2017-09,1
1.3,0,yes,4411,yes,E_SM,2017-10,1
1.3,0,yes,4411,yes,E_SM,2017-11,1
1.3,0,yes,4411,yes,E_SM,2017-12,1
1.4,0,yes,44111,yes,E_SM,2017-01,1
1.5,0,yes,44111,yes,E_SM,2017-02,1
1.4,0,yes,44111,yes,E_SM,2017-03,1
1.4,0,yes,44111,yes,E_SM,2017-04,1
1.3,0,yes,44111,yes,E_SM,2017-05,1
1.4,0,yes,44111,yes,E_SM,2017-06,1
1.4,0,yes,44111,yes,E_SM,2017-07,1
1.3,0,yes,44111,yes,E_SM,2017-08,1
1.1,0,yes,44111,yes,E_SM,2017-09,1
1.3,0,yes,44111,yes,E_SM,2017-10,1
1.3,0,yes,44111,yes,E_SM,2017-11,1
1.3,0,yes,44111,yes,E_SM,2017-12,1
1.4,0,yes,441X,yes,E_SM,2017-01,1
1.5,0,yes,441X,yes,E_SM,2017-02,1
1.3,0,yes,441X,yes,E_SM,2017-03,1
1.4,0,yes,441X,yes,E_SM,2017-04,1
1.3,0,yes,441X,yes,E_SM,2017-05,1
1.4,0,yes,441X,yes,E_SM,2017-06,1
1.3,0,yes,441X,yes,E_SM,2017-07,1
1.2,0,yes,441X,yes,E_SM,2017-08,1
1.1,0,yes,441X,yes,E_SM,2017-09,1
1.3,0,yes,441X,yes,E_SM,2017-10,1
1.2,0,yes,441X,yes,E_SM,2017-11,1
1.2,0,yes,441X,yes,E_SM,2017-12,1
0.6,0,yes,4400A,yes,E_SM,2017-01,1
0.6,0,yes,4400A,yes,E_SM,2017-02,1
0.7,0,yes,4400A,yes,E_SM,2017-03,1
0.7,0,yes,4400A,yes,E_SM,2017-04,1
0.7,0,yes,4400A,yes,E_SM,2017-05,1
0.7,0,yes,4400A,yes,E_SM,2017-06,1
0.7,0,yes,4400A,yes,E_SM,2017-07,1
0.7,0,yes,4400A,yes,E_SM,2017-08,1
0.7,0,yes,4400A,yes,E_SM,2017-09,1
0.7,0,yes,4400A,yes,E_SM,2017-10,1
0.6,0,yes,4400A,yes,E_SM,2017-11,1
0.5,0,yes,4400A,yes,E_SM,2017-12,1
5.2,0,yes,44112,yes,E_SM,2017-01,1
4.2,0,yes,44112,yes,E_SM,2017-02,1
4.4,0,yes,44112,yes,E_SM,2017-03,1
4.1,0,yes,44112,yes,E_SM,2017-04,1
4.4,0,yes,44112,yes,E_SM,2017-05,1
