monthly_sales_percent_change,category_code,seasonally_adj,data_type_code,time,category_name,high_level_category
0.9,44X72,True,E_SM,2023-06-01,Retail Trade and Food Services,Retail and Food Services
0.7,44X72,True,E_SM,2023-12-01,Retail Trade and Food Services,Retail and Food Services
0.0,4521E,True,E_SM,2023-04-01,Department Stores,Retail Trade
0.0,4521E,True,E_SM,2023-10-01,Department Stores,Retail Trade
0.6,44000,True,E_SM,2017-02-01,Retail Trade,Retail Trade
0.6,44000,True,E_SM,2017-08-01,Retail Trade,Retail Trade
1.9,444,True,E_SM,2017-03-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
2.3,444,True,E_SM,2017-09-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
0.5,44X72,True,E_SM,2017-01-01,Retail Trade and Food Services,Retail and Food Services
0.6,44X72,True,E_SM,2017-07-01,Retail Trade and Food Services,Retail and Food Services
1.2,447,True,E_SM,2018-12-01,Gasoline Stations,Retail Trade
0.6,44Y72,True,E_SM,2018-03-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
0.6,44Y72,True,E_SM,2018-09-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
2.5,448,True,E_SM,2017-08-01,Clothing and Accessories Stores,Retail Trade
2.0,451,True,E_SM,2017-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
3.4,451,True,E_SM,2017-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
2.1,722,True,E_SM,2017-04-01,Food Services and Drinking Places,Food Services
1.9,722,True,E_SM,2017-09-01,Food Services and Drinking Places,Food Services
1.6,443,True,E_SM,2018-09-01,Electronics and Appliance Stores,Retail Trade
0.8,4451,True,E_SM,2020-03-01,Grocery Stores,Retail Trade
0.7,4451,True,E_SM,2020-09-01,Grocery Stores,Retail Trade
3.9,453,True,E_SM,2020-03-01,Miscellaneous Store Retailers,Retail Trade
3.9,453,True,E_SM,2020-09-01,Miscellaneous Store Retailers,Retail Trade
1.2,441,True,E_SM,2021-02-01,Motor Vehicle and Parts Dealers,Retail Trade
1.2,441,True,E_SM,2021-07-01,Motor Vehicle and Parts Dealers,Retail Trade
1.4,454,True,E_SM,2019-02-01,Nonstore Retailers,Nonstore Trade
1.3,454,True,E_SM,2019-07-01,Nonstore Retailers,Nonstore Trade
2.9,453,True,E_SM,2018-11-01,Miscellaneous Store Retailers,Retail Trade
2.7,443,True,E_SM,2017-05-01,Electronics and Appliance Stores,Retail Trade
1.9,447,True,E_SM,2017-04-01,Gasoline Stations,Retail Trade
1.8,447,True,E_SM,2017-10-01,Gasoline Stations,Retail Trade
0.7,44Y72,True,E_SM,2017-05-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
0.6,44Y72,True,E_SM,2017-11-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
3.5,446,True,E_SM,2020-05-01,Health and Personal Care Stores,Retail Trade
3.6,446,True,E_SM,2020-10-01,Health and Personal Care Stores,Retail Trade
0.7,44X72,True,E_SM,2020-01-01,Retail Trade and Food Services,Retail and Food Services
0.6,44X72,True,E_SM,2020-07-01,Retail Trade and Food Services,Retail and Food Services
1.2,441X,True,E_SM,2021-08-01,Auto and Other Motor Vehicles,Retail Trade
2.5,448,True,E_SM,2021-06-01,Clothing and Accessories Stores,Retail Trade
2.8,451,True,E_SM,2021-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
5.1,453,True,E_SM,2022-03-01,Miscellaneous Store Retailers,Retail Trade
