cv_of_monthly_sales,category_code,time,category_name,high_level_category
0.0,4521E,2017-01-01,Department Stores,Retail Trade
2.2,446,2017-01-01,Health and Personal Care Stores,Retail Trade
2.4,442,2017-01-01,Furniture and Home Furnishings Stores,Retail Trade
2.0,451,2017-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
1.9,444,2017-01-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
2.2,448,2017-01-01,Clothing and Accessories Stores,Retail Trade
2.2,722,2017-01-01,Food Services and Drinking Places,Food Services
1.5,445,2017-01-01,Food and Beverage Stores,Retail Trade
0.7,44Y72,2017-01-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
1.8,447,2017-01-01,Gasoline Stations,Retail Trade
1.4,441,2017-01-01,Motor Vehicle and Parts Dealers,Retail Trade
2.3,443,2017-01-01,Electronics and Appliance Stores,Retail Trade
2.6,453,2017-01-01,Miscellaneous Store Retailers,Retail Trade
1.6,454,2017-01-01,Nonstore Retailers,Nonstore Trade
0.5,44X72,2017-01-01,Retail Trade and Food Services,Retail and Food Services
1.6,4451,2017-01-01,Grocery Stores,Retail Trade
0.6,44000,2017-01-01,Retail Trade,Retail Trade
1.4,441X,2017-01-01,Auto and Other Motor Vehicles,Retail Trade
0.2,452,2017-01-01,General Merchandise Stores,Retail Trade
1.7,454,2017-02-01,Nonstore Retailers,Nonstore Trade
1.5,441,2017-02-01,Motor Vehicle and Parts Dealers,Retail Trade
0.0,4521E,2017-02-01,Department Stores,Retail Trade
1.6,4451,2017-02-01,Grocery Stores,Retail Trade
1.8,447,2017-02-01,Gasoline Stations,Retail Trade
2.2,446,2017-02-01,Health and Personal Care Stores,Retail Trade
2.5,442,2017-02-01,Furniture and Home Furnishings Stores,Retail Trade
0.7,44Y72,2017-02-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
2.1,722,2017-02-01,Food Services and Drinking Places,Food Services
2.2,448,2017-02-01,Clothing and Accessories Stores,Retail Trade
1.5,441X,2017-02-01,Auto and Other Motor Vehicles,Retail Trade
2.0,451,2017-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
1.5,445,2017-02-01,Food and Beverage Stores,Retail Trade
0.2,452,2017-02-01,General Merchandise Stores,Retail Trade
0.6,44000,2017-02-01,Retail Trade,Retail Trade
2.1,453,2017-02-01,Miscellaneous Store Retailers,Retail Trade
2.5,443,2017-02-01,Electronics and Appliance Stores,Retail Trade
2.0,444,2017-02-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
0.6,44X72,2017-02-01,Retail Trade and Food Services,Retail and Food Services
1.5,445,2017-03-01,Food and Beverage Stores,Retail Trade
2.5,443,2017-03-01,Electronics and Appliance Stores,Retail Trade
0.2,452,2017-03-01,General Merchandise Stores,Retail Trade
1.9,453,2017-03-01,Miscellaneous Store Retailers,Retail Trade
2.3,451,2017-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
1.9,444,2017-03-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
2.2,448,2017-03-01,Clothing and Accessories Stores,Retail Trade
2.1,722,2017-03-01,Food Services and Drinking Places,Food Services
2.2,446,2017-03-01,Health and Personal Care Stores,Retail Trade
1.8,454,2017-03-01,Nonstore Retailers,Nonstore Trade
1.6,4451,2017-03-01,Grocery Stores,Retail Trade
1.3,441,2017-03-01,Motor Vehicle and Parts Dealers,Retail Trade
0.0,4521E,2017-03-01,Department Stores,Retail Trade
0.5,44X72,2017-03-01,Retail Trade and Food Services,Retail and Food Services
2.5,442,2017-03-01,Furniture and Home Furnishings Stores,Retail Trade
1.8,447,2017-03-01,Gasoline Stations,Retail Trade
0.6,44000,2017-03-01,Retail Trade,Retail Trade
1.3,441X,2017-03-01,Auto and Other Motor Vehicles,Retail Trade
0.6,44Y72,2017-03-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
1.6,4451,2017-04-01,Grocery Stores,Retail Trade
2.4,451,2017-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
