cell_value,time_slot_id,error_data,category_code,seasonally_adj,data_type_code,time,us
92353,0,no,722,no,SM,2023-03,1
92421,0,no,722,no,SM,2023-09,1
8376,0,no,442,no,SM,2017-02,1
10031,0,no,442,no,SM,2017-08,1
24675,0,no,446,no,SM,2017-02,1
25990,0,no,446,no,SM,2017-07,1
59427,0,no,445,no,SM,2018-04,1
62594,0,no,445,no,SM,2018-10,1
294723,0,no,44W72,no,SM,2017-02,1
110798,0,no,441,no,SM,2020-06,1
112092,0,no,441,no,SM,2020-12,1
62630,0,no,4451,no,SM,2020-10,1
313397,0,no,44W72,no,SM,2020-04,1
405105,0,no,44W72,no,SM,2020-10,1
84140,0,no,441X,no,SM,2020-01,1
103469,0,no,441X,no,SM,2020-07,1
75019,0,no,445,no,SM,2020-05,1
70465,0,no,445,no,SM,2020-10,1
7074,0,no,443,no,SM,2017-07,1
39945,0,no,447,no,SM,2017-12,1
8809,0,no,453,no,SM,2017-02,1
10264,0,no,453,no,SM,2017-07,1
96548,0,no,441X,no,SM,2018-06,1
93991,0,no,441X,no,SM,2018-12,1
50888,0,no,4451,no,SM,2018-02,1
57000,0,no,4451,no,SM,2018-08,1
371659,0,no,44W72,no,SM,2018-05,1
380820,0,no,44W72,no,SM,2018-11,1
60274,0,no,722,no,SM,2018-04,1
54272,0,no,452,no,SM,2020-04,1
61947,0,no,452,no,SM,2020-10,1
31551,0,no,722,no,SM,2020-04,1
46854,0,no,444,no,SM,2021-04,1
39777,0,no,444,no,SM,2021-10,1
16064,0,no,448,no,SM,2021-02,1
24932,0,no,448,no,SM,2021-08,1
8287,0,no,451,no,SM,2021-05,1
9489,0,no,451,no,SM,2021-11,1
10604,0,no,4521E,no,SM,2022-03,1
10556,0,no,4521E,no,SM,2022-09,1
15558,0,no,453,no,SM,2022-05,1
14888,0,no,453,no,SM,2022-10,1
461994,0,no,44000,no,SM,2021-01,1
552194,0,no,44000,no,SM,2021-07,1
625145,0,no,44000,no,SM,2021-12,1
7838,0,no,443,no,SM,2021-03,1
7563,0,no,443,no,SM,2021-09,1
61390,0,no,722,no,SM,2018-10,1
7241,0,no,443,no,SM,2019-03,1
7545,0,no,443,no,SM,2019-08,1
49567,0,no,454,no,SM,2017-10,1
555970,0,no,44X72,no,SM,2018-12,1
50622,0,no,452,no,SM,2018-01,1
57537,0,no,452,no,SM,2018-07,1
461608,0,no,44000,no,SM,2019-07,1
33542,0,no,444,no,SM,2019-06,1
28437,0,no,444,no,SM,2019-12,1
36562,0,no,447,no,SM,2019-01,1
46514,0,no,447,no,SM,2019-07,1
402237,0,no,44Y72,no,SM,2019-04,1
418612,0,no,44Y72,no,SM,2019-10,1
