monthly_sales,category_code,time,category_name,high_level_category
91596,441X,2017-01-01,Auto and Other Motor Vehicles,Retail Trade
39949,447,2017-01-01,Gasoline Stations,Retail Trade
53316,4451,2017-01-01,Grocery Stores,Retail Trade
26060,446,2017-01-01,Health and Personal Care Stores,Retail Trade
333700,44W72,2017-01-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
57644,452,2017-01-01,General Merchandise Stores,Retail Trade
12631,4521E,2017-01-01,Department Stores,Retail Trade
9501,442,2017-01-01,Furniture and Home Furnishings Stores,Retail Trade
373649,44Y72,2017-01-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
7682,443,2017-01-01,Electronics and Appliance Stores,Retail Trade
28464,444,2017-01-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
433070,44Z72,2017-01-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
59565,445,2017-01-01,Food and Beverage Stores,Retail Trade
57359,722,2017-01-01,Food Services and Drinking Places,Food Services
22058,448,2017-01-01,Clothing and Accessories Stores,Retail Trade
99370,441,2017-01-01,Motor Vehicle and Parts Dealers,Retail Trade
48025,454,2017-01-01,Nonstore Retailers,Nonstore Trade
473019,44X72,2017-01-01,Retail Trade and Food Services,Retail and Food Services
415660,44000,2017-01-01,Retail Trade,Retail Trade
7216,451,2017-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
10126,453,2017-01-01,Miscellaneous Store Retailers,Retail Trade
9497,442,2017-02-01,Furniture and Home Furnishings Stores,Retail Trade
98767,441,2017-02-01,Motor Vehicle and Parts Dealers,Retail Trade
28853,444,2017-02-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
57382,722,2017-02-01,Food Services and Drinking Places,Food Services
59912,445,2017-02-01,Food and Beverage Stores,Retail Trade
472945,44X72,2017-02-01,Retail Trade and Food Services,Retail and Food Services
333938,44W72,2017-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
26390,446,2017-02-01,Health and Personal Care Stores,Retail Trade
21686,448,2017-02-01,Clothing and Accessories Stores,Retail Trade
432705,44Z72,2017-02-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
53687,4451,2017-02-01,Grocery Stores,Retail Trade
91088,441X,2017-02-01,Auto and Other Motor Vehicles,Retail Trade
57059,452,2017-02-01,General Merchandise Stores,Retail Trade
7613,443,2017-02-01,Electronics and Appliance Stores,Retail Trade
40240,447,2017-02-01,Gasoline Stations,Retail Trade
10295,453,2017-02-01,Miscellaneous Store Retailers,Retail Trade
48178,454,2017-02-01,Nonstore Retailers,Nonstore Trade
12419,4521E,2017-02-01,Department Stores,Retail Trade
7073,451,2017-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
374178,44Y72,2017-02-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
415563,44000,2017-02-01,Retail Trade,Retail Trade
60346,445,2017-03-01,Food and Beverage Stores,Retail Trade
6980,451,2017-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
28676,444,2017-03-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
10212,453,2017-03-01,Miscellaneous Store Retailers,Retail Trade
96825,441,2017-03-01,Motor Vehicle and Parts Dealers,Retail Trade
414869,44000,2017-03-01,Retail Trade,Retail Trade
21836,448,2017-03-01,Clothing and Accessories Stores,Retail Trade
57280,722,2017-03-01,Food Services and Drinking Places,Food Services
432252,44Z72,2017-03-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
89067,441X,2017-03-01,Auto and Other Motor Vehicles,Retail Trade
7796,443,2017-03-01,Electronics and Appliance Stores,Retail Trade
39897,447,2017-03-01,Gasoline Stations,Retail Trade
9557,442,2017-03-01,Furniture and Home Furnishings Stores,Retail Trade
48809,454,2017-03-01,Nonstore Retailers,Nonstore Trade
375324,44Y72,2017-03-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
57390,452,2017-03-01,General Merchandise Stores,Retail Trade
472149,44X72,2017-03-01,Retail Trade and Food Services,Retail and Food Services
335427,44W72,2017-03-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
54117,4451,2017-03-01,Grocery Stores,Retail Trade
26545,446,2017-03-01,Health and Personal Care Stores,Retail Trade
12419,4521E,2017-03-01,Department Stores,Retail Trade
416613,44000,2017-04-01,Retail Trade,Retail Trade
473986,44X72,2017-04-01,Retail Trade and Food Services,Retail and Food Services
97394,441,2017-04-01,Motor Vehicle and Parts Dealers,Retail Trade
49324,454,2017-04-01,Nonstore Retailers,Nonstore Trade
10255,453,2017-04-01,Miscellaneous Store Retailers,Retail Trade
12399,4521E,2017-04-01,Department Stores,Retail Trade
376592,44Y72,2017-04-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
39776,447,2017-04-01,Gasoline Stations,Retail Trade
29033,444,2017-04-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
26725,446,2017-04-01,Health and Personal Care Stores,Retail Trade
9395,442,2017-04-01,Furniture and Home Furnishings Stores,Retail Trade
57482,452,2017-04-01,General Merchandise Stores,Retail Trade
336816,44W72,2017-04-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
54199,4451,2017-04-01,Grocery Stores,Retail Trade
89571,441X,2017-04-01,Auto and Other Motor Vehicles,Retail Trade
57373,722,2017-04-01,Food Services and Drinking Places,Food Services
7050,451,2017-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
434210,44Z72,2017-04-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
21834,448,2017-04-01,Clothing and Accessories Stores,Retail Trade
60480,445,2017-04-01,Food and Beverage Stores,Retail Trade
7865,443,2017-04-01,Electronics and Appliance Stores,Retail Trade
57377,722,2017-05-01,Food Services and Drinking Places,Food Services
6954,451,2017-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
433503,44Z72,2017-05-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
21627,448,2017-05-01,Clothing and Accessories Stores,Retail Trade
335709,44W72,2017-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
97794,441,2017-05-01,Motor Vehicle and Parts Dealers,Retail Trade
