monthly_sales,category_code,seasonally_adjusted,data_type_code,time,category_name,high_level_category
6220,451,False,SM,2017-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
78223,441X,False,SM,2017-01-01,Auto and Other Motor Vehicles,Retail Trade
8408,442,False,SM,2017-01-01,Furniture and Home Furnishings Stores,Retail Trade
52570,4451,False,SM,2017-01-01,Grocery Stores,Retail Trade
25643,446,False,SM,2017-01-01,Health and Personal Care Stores,Retail Trade
45834,454,False,SM,2017-01-01,Nonstore Retailers,Nonstore Trade
49990,452,False,SM,2017-01-01,General Merchandise Stores,Retail Trade
8662,453,False,SM,2017-01-01,Miscellaneous Store Retailers,Retail Trade
7037,443,False,SM,2017-01-01,Electronics and Appliance Stores,Retail Trade
9459,4521E,False,SM,2017-01-01,Department Stores,Retail Trade
386096,44Z72,False,SM,2017-01-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
35914,447,False,SM,2017-01-01,Gasoline Stations,Retail Trade
422010,44X72,False,SM,2017-01-01,Retail Trade and Food Services,Retail and Food Services
52942,722,False,SM,2017-01-01,Food Services and Drinking Places,Food Services
369068,44000,False,SM,2017-01-01,Retail Trade,Retail Trade
85243,441,False,SM,2017-01-01,Motor Vehicle and Parts Dealers,Retail Trade
22380,444,False,SM,2017-01-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
336767,44Y72,False,SM,2017-01-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
300853,44W72,False,SM,2017-01-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
15918,448,False,SM,2017-01-01,Clothing and Accessories Stores,Retail Trade
57819,445,False,SM,2017-01-01,Food and Beverage Stores,Retail Trade
18036,448,False,SM,2017-02-01,Clothing and Accessories Stores,Retail Trade
6722,443,False,SM,2017-02-01,Electronics and Appliance Stores,Retail Trade
5559,451,False,SM,2017-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
89460,441,False,SM,2017-02-01,Motor Vehicle and Parts Dealers,Retail Trade
418387,44X72,False,SM,2017-02-01,Retail Trade and Food Services,Retail and Food Services
54513,445,False,SM,2017-02-01,Food and Beverage Stores,Retail Trade
22486,444,False,SM,2017-02-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
49231,4451,False,SM,2017-02-01,Grocery Stores,Retail Trade
34204,447,False,SM,2017-02-01,Gasoline Stations,Retail Trade
52791,722,False,SM,2017-02-01,Food Services and Drinking Places,Food Services
82526,441X,False,SM,2017-02-01,Auto and Other Motor Vehicles,Retail Trade
365596,44000,False,SM,2017-02-01,Retail Trade,Retail Trade
49639,452,False,SM,2017-02-01,General Merchandise Stores,Retail Trade
294723,44W72,False,SM,2017-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
9972,4521E,False,SM,2017-02-01,Department Stores,Retail Trade
384183,44Z72,False,SM,2017-02-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
43117,454,False,SM,2017-02-01,Nonstore Retailers,Nonstore Trade
8809,453,False,SM,2017-02-01,Miscellaneous Store Retailers,Retail Trade
328927,44Y72,False,SM,2017-02-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
24675,446,False,SM,2017-02-01,Health and Personal Care Stores,Retail Trade
8376,442,False,SM,2017-02-01,Furniture and Home Furnishings Stores,Retail Trade
60262,445,False,SM,2017-03-01,Food and Beverage Stores,Retail Trade
