monthly_sales,category_code,time,category_name,high_level_category,is_subset
45834.0,454,2017-01-01,Nonstore Retailers,Nonstore Retailers,False
422010.0,44X72,2017-01-01,Retail Trade and Food Services,Retail Trade and Food Services,False
15445.0,4423X,2017-01-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
8662.0,453,2017-01-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
85243.0,441,2017-01-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
9459.0,4521E,2017-01-01,Department Stores,Department Stores,False
35914.0,447,2017-01-01,Gasoline Stations,Gasoline Stations,False
57819.0,445,2017-01-01,Food and Beverage Stores,Food and Beverage Stores,False
15918.0,448,2017-01-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
52942.0,722,2017-01-01,Food Services and Drinking Places,Food Services and Drinking Places,False
6220.0,451,2017-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
7037.0,443,2017-01-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
25643.0,446,2017-01-01,Health and Personal Care Stores,Health and Personal Care Stores,False
49990.0,452,2017-01-01,General Merchandise Stores,General Merchandise Stores,False
22380.0,444,2017-01-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
40531.0,4529,2017-01-01,Other General Merchandise Stores,Other General Merchandise Stores,False
8408.0,442,2017-01-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
418387.0,44X72,2017-02-01,Retail Trade and Food Services,Retail Trade and Food Services,False
22486.0,444,2017-02-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
54513.0,445,2017-02-01,Food and Beverage Stores,Food and Beverage Stores,False
8376.0,442,2017-02-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
18036.0,448,2017-02-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
24675.0,446,2017-02-01,Health and Personal Care Stores,Health and Personal Care Stores,False
49639.0,452,2017-02-01,General Merchandise Stores,General Merchandise Stores,False
5559.0,451,2017-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
6722.0,443,2017-02-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
39667.0,4529,2017-02-01,Other General Merchandise Stores,Other General Merchandise Stores,False
43117.0,454,2017-02-01,Nonstore Retailers,Nonstore Retailers,False
52791.0,722,2017-02-01,Food Services and Drinking Places,Food Services and Drinking Places,False
15098.0,4423X,2017-02-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
34204.0,447,2017-02-01,Gasoline Stations,Gasoline Stations,False
8809.0,453,2017-02-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
89460.0,441,2017-02-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
9972.0,4521E,2017-02-01,Department Stores,Department Stores,False
49589.0,454,2017-03-01,Nonstore Retailers,Nonstore Retailers,False
60144.0,722,2017-03-01,Food Services and Drinking Places,Food Services and Drinking Places,False
27474.0,446,2017-03-01,Health and Personal Care Stores,Health and Personal Care Stores,False
6638.0,451,2017-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
44134.0,4529,2017-03-01,Other General Merchandise Stores,Other General Merchandise Stores,False
11681.0,4521E,2017-03-01,Department Stores,Department Stores,False
29214.0,444,2017-03-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
7500.0,443,2017-03-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
55815.0,452,2017-03-01,General Merchandise Stores,General Merchandise Stores,False
9815.0,442,2017-03-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
60262.0,445,2017-03-01,Food and Beverage Stores,Food and Beverage Stores,False
106337.0,441,2017-03-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
17315.0,4423X,2017-03-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
483168.0,44X72,2017-03-01,Retail Trade and Food Services,Retail Trade and Food Services,False
21354.0,448,2017-03-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
39099.0,447,2017-03-01,Gasoline Stations,Gasoline Stations,False
9927.0,453,2017-03-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
59631.0,445,2017-04-01,Food and Beverage Stores,Food and Beverage Stores,False
25816.0,446,2017-04-01,Health and Personal Care Stores,Health and Personal Care Stores,False
6677.0,443,2017-04-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
31245.0,444,2017-04-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
6352.0,451,2017-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
21164.0,448,2017-04-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
39458.0,447,2017-04-01,Gasoline Stations,Gasoline Stations,False
58578.0,722,2017-04-01,Food Services and Drinking Places,Food Services and Drinking Places,False
8728.0,442,2017-04-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
465853.0,44X72,2017-04-01,Retail Trade and Food Services,Retail Trade and Food Services,False
15405.0,4423X,2017-04-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
9698.0,453,2017-04-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
97343.0,441,2017-04-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
55682.0,452,2017-04-01,General Merchandise Stores,General Merchandise Stores,False
44188.0,4529,2017-04-01,Other General Merchandise Stores,Other General Merchandise Stores,False
45481.0,454,2017-04-01,Nonstore Retailers,Nonstore Retailers,False
11494.0,4521E,2017-04-01,Department Stores,Department Stores,False
35616.0,444,2017-05-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
41292.0,447,2017-05-01,Gasoline Stations,Gasoline Stations,False
11211.0,453,2017-05-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
11853.0,4521E,2017-05-01,Department Stores,Department Stores,False
44766.0,4529,2017-05-01,Other General Merchandise Stores,Other General Merchandise Stores,False
6565.0,451,2017-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
56619.0,452,2017-05-01,General Merchandise Stores,General Merchandise Stores,False
60131.0,722,2017-05-01,Food Services and Drinking Places,Food Services and Drinking Places,False
494662.0,44X72,2017-05-01,Retail Trade and Food Services,Retail Trade and Food Services,False
49357.0,454,2017-05-01,Nonstore Retailers,Nonstore Retailers,False
21962.0,448,2017-05-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
105656.0,441,2017-05-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
62133.0,445,2017-05-01,Food and Beverage Stores,Food and Beverage Stores,False
27386.0,446,2017-05-01,Health and Personal Care Stores,Health and Personal Care Stores,False
7159.0,443,2017-05-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
16734.0,4423X,2017-05-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
9575.0,442,2017-05-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
58666.0,722,2017-06-01,Food Services and Drinking Places,Food Services and Drinking Places,False
10522.0,453,2017-06-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
20632.0,448,2017-06-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
26869.0,446,2017-06-01,Health and Personal Care Stores,Health and Personal Care Stores,False
7230.0,443,2017-06-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
45145.0,4529,2017-06-01,Other General Merchandise Stores,Other General Merchandise Stores,False
11595.0,4521E,2017-06-01,Department Stores,Department Stores,False
6727.0,451,2017-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
481768.0,44X72,2017-06-01,Retail Trade and Food Services,Retail Trade and Food Services,False
9523.0,442,2017-06-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
102608.0,441,2017-06-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
56740.0,452,2017-06-01,General Merchandise Stores,General Merchandise Stores,False
16753.0,4423X,2017-06-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
47769.0,454,2017-06-01,Nonstore Retailers,Nonstore Retailers,False
33427.0,444,2017-06-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
40494.0,447,2017-06-01,Gasoline Stations,Gasoline Stations,False
60561.0,445,2017-06-01,Food and Beverage Stores,Food and Beverage Stores,False
61621.0,445,2017-07-01,Food and Beverage Stores,Food and Beverage Stores,False
16470.0,4423X,2017-07-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
102230.0,441,2017-07-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
46399.0,454,2017-07-01,Nonstore Retailers,Nonstore Retailers,False
56375.0,452,2017-07-01,General Merchandise Stores,General Merchandise Stores,False
9396.0,442,2017-07-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
25990.0,446,2017-07-01,Health and Personal Care Stores,Health and Personal Care Stores,False
10264.0,453,2017-07-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
30054.0,444,2017-07-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
475390.0,44X72,2017-07-01,Retail Trade and Food Services,Retail Trade and Food Services,False
40215.0,447,2017-07-01,Gasoline Stations,Gasoline Stations,False
58463.0,722,2017-07-01,Food Services and Drinking Places,Food Services and Drinking Places,False
20803.0,448,2017-07-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
6506.0,451,2017-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
45047.0,4529,2017-07-01,Other General Merchandise Stores,Other General Merchandise Stores,False
7074.0,443,2017-07-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
11328.0,4521E,2017-07-01,Department Stores,Department Stores,False
17501.0,4423X,2017-08-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
10031.0,442,2017-08-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
30302.0,444,2017-08-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
490325.0,44X72,2017-08-01,Retail Trade and Food Services,Retail Trade and Food Services,False
104785.0,441,2017-08-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
27639.0,446,2017-08-01,Health and Personal Care Stores,Health and Personal Care Stores,False
12155.0,4521E,2017-08-01,Department Stores,Department Stores,False
7470.0,443,2017-08-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
45704.0,4529,2017-08-01,Other General Merchandise Stores,Other General Merchandise Stores,False
58509.0,722,2017-08-01,Food Services and Drinking Places,Food Services and Drinking Places,False
10747.0,453,2017-08-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
41638.0,447,2017-08-01,Gasoline Stations,Gasoline Stations,False
22774.0,448,2017-08-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
61413.0,445,2017-08-01,Food and Beverage Stores,Food and Beverage Stores,False
49510.0,454,2017-08-01,Nonstore Retailers,Nonstore Retailers,False
57859.0,452,2017-08-01,General Merchandise Stores,General Merchandise Stores,False
7648.0,451,2017-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
469688.0,44X72,2017-09-01,Retail Trade and Food Services,Retail Trade and Food Services,False
16970.0,4423X,2017-09-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
46843.0,454,2017-09-01,Nonstore Retailers,Nonstore Retailers,False
43587.0,4529,2017-09-01,Other General Merchandise Stores,Other General Merchandise Stores,False
57154.0,722,2017-09-01,Food Services and Drinking Places,Food Services and Drinking Places,False
7293.0,443,2017-09-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
10190.0,453,2017-09-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
41681.0,447,2017-09-01,Gasoline Stations,Gasoline Stations,False
19900.0,448,2017-09-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
60271.0,445,2017-09-01,Food and Beverage Stores,Food and Beverage Stores,False
9677.0,442,2017-09-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
28989.0,444,2017-09-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
26577.0,446,2017-09-01,Health and Personal Care Stores,Health and Personal Care Stores,False
6716.0,451,2017-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
99943.0,441,2017-09-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
54454.0,452,2017-09-01,General Merchandise Stores,General Merchandise Stores,False
10867.0,4521E,2017-09-01,Department Stores,Department Stores,False
